gene,con_d1_n1,con_d1_n2,con_d1_n3,con_d1_n4,con_d5_n1,con_d5_n2,con_d5_n3,con_d5_n4,upw_d1_n1,upw_d1_n2,upw_d1_n3,upw_d1_n4,upw_d5_n1,upw_d5_n2,upw_d5_n3,upw_d5_n4
CEBPD,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KLF4,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
GLNA,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
S27A2,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
S26A2,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
MYH7,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
FOXO4,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
CALUA,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
TNNI2,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PWP2A,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
NF2L1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
MSL2,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
ARI1A,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PRDX6,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
GSHR,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
CACO1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
K2C8,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
G3P,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
TRFE,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
SL9A7,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
MYH11,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PERE,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
CHP3,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
TITIN,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
FGF1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
MYBPH,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
TTK,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
ARRD3,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
PRDX5,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
AL3A2,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
EGLN2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
